Roll No,1,2,3,4,5,6,7,8,9,10,Target
48,1.0,0.5,3.0,2.5,3.0,2.0,1.0,1.5,1.5,3.0,1
49,0.5,0.5,2.0,1.5,1.0,1.0,1.5,0.5,1.5,2.0,3
50,4.0,2.0,7.0,7.0,5.0,4.5,3.5,4.5,5.5,6.0,4
51,2.5,1.5,4.0,6.5,3.0,4.5,5.0,3.0,4.0,5.0,3
52,3.0,2.0,7.0,5.5,5.0,5.5,4.0,4.0,6.0,6.5,1
53,1.5,1.0,5.0,3.0,3.5,2.0,3.5,4.0,5.0,5.5,5
54,1.5,1.0,3.0,5.0,2.0,3.0,2.0,2.5,2.5,2.5,2
55,2.0,1.0,3.5,2.0,0.5,2.0,1.0,2.0,2.0,3.5,4
56,2.5,1.0,3.0,1.5,1.0,3.5,2.0,2.0,1.5,2.0,4
57,1.5,1.5,4.0,5.0,4.0,2.0,3.5,4.0,5.0,5.0,2
58,2.0,1.5,4.5,5.5,4.5,4.5,3.0,2.5,3.5,3.0,1
59,2.0,0.5,2.0,1.5,2.5,1.0,2.0,3.0,4.5,4.0,6
60,1.5,1.5,4.5,2.5,3.0,3.0,3.0,2.5,3.0,2.5,3
61,1.5,0.5,3.5,3.5,3.0,1.5,2.0,2.0,4.0,4.0,5
62,1.5,1.0,3.5,2.5,2.0,1.5,3.0,2.5,5.0,3.0,6
63,2.0,1.5,3.5,4.5,3.5,3.0,2.5,2.5,3.5,3.0,2
64,0.5,0.0,2.5,3.0,1.0,1.0,0.5,2.0,3.0,1.0,6
65,3.5,2.0,6.5,7.0,3.5,5.5,5.0,5.0,7.0,7.0,2
66,4.0,2.0,7.0,6.5,5.0,6.0,4.0,5.0,6.5,6.0,1
67,3.5,2.0,7.0,7.0,4.5,5.0,4.0,5.0,6.5,6.5,2
68,3.5,2.0,5.5,4.5,4.5,4.0,4.0,5.0,6.5,6.5,5
69,2.0,0.5,3.5,3.0,2.0,1.5,2.5,2.5,4.0,2.0,6
70,2.0,0.5,1.5,3.5,1.5,3.5,2.0,2.5,1.0,2.0,2
71,2.5,1.5,3.0,3.5,3.5,1.5,3.5,2.5,3.5,4.0,3
72,2.0,0.5,1.5,3.0,2.5,1.5,3.0,1.5,1.0,2.0,3
73,3.5,1.5,5.0,5.5,3.0,5.5,4.0,4.0,6.5,5.0,6
74,4.0,2.0,6.0,6.0,5.0,5.5,5.0,4.5,6.0,7.0,3
75,1.0,0.5,3.5,2.0,1.5,2.5,2.5,3.5,1.5,2.5,3
76,3.5,2.0,7.0,7.0,4.0,6.0,5.0,4.5,5.0,5.5,3
77,2.5,2.0,6.5,5.5,4.5,4.0,3.0,4.0,5.5,4.0,2
78,2.0,0.5,2.0,4.0,2.5,1.0,2.5,2.5,4.0,2.5,6
79,1.5,1.0,4.5,2.0,2.5,3.5,1.0,2.0,4.0,3.0,6
80,1.5,0.5,1.5,3.0,0.0,1.0,1.0,1.5,2.0,0.5,2
81,0.5,0.5,3.0,2.5,1.0,1.5,2.0,2.0,2.5,1.0,3
82,2.0,1.0,3.5,3.5,3.0,3.5,1.5,2.5,4.5,3.0,6
83,3.0,1.5,5.5,5.5,4.5,5.0,4.5,3.0,6.0,6.5,5
84,3.0,1.0,4.5,3.0,2.5,3.5,3.5,4.5,6.0,4.5,6
85,2.0,0.0,1.5,2.0,2.5,1.5,1.5,2.5,3.5,0.5,6
86,0.5,0.0,2.5,2.5,1.0,1.0,2.0,2.0,1.5,2.0,3
87,3.5,2.0,6.0,7.0,3.0,4.5,4.0,3.5,6.0,5.5,2
88,4.0,1.5,7.0,5.0,5.0,6.0,5.0,4.5,7.0,5.5,1
89,1.0,0.5,0.5,3.0,2.0,3.0,1.5,1.0,1.0,0.0,1
90,2.0,1.5,6.0,3.0,3.5,4.5,2.5,2.5,6.0,4.5,6
91,0.0,0.5,2.0,0.0,1.0,0.0,0.0,1.0,1.5,3.0,5
92,0.5,1.0,2.5,2.0,2.5,1.0,2.5,1.0,4.0,3.5,6
93,2.0,0.5,4.5,3.5,3.0,4.0,3.5,1.0,3.5,3.0,3
94,4.0,1.0,5.5,5.0,2.5,4.5,2.5,4.0,6.5,3.5,6
95,1.0,0.5,3.5,3.0,2.5,2.5,2.5,1.5,4.0,4.5,5
96,3.0,1.5,4.5,4.0,3.5,3.0,4.0,3.0,5.0,5.5,3
97,3.0,1.0,5.0,3.5,3.5,3.5,3.5,4.0,4.0,6.0,5
98,2.0,1.0,5.5,5.0,3.5,2.5,2.5,2.5,4.0,5.0,5
99,3.0,2.0,5.0,4.0,3.0,4.5,4.0,4.5,6.0,6.0,5
100,4.0,1.5,7.0,7.0,5.0,5.5,5.0,4.0,7.0,7.0,3
101,4.0,1.5,5.0,7.0,4.0,5.0,4.5,5.0,6.0,5.5,2
102,0.5,0.5,1.0,1.5,2.0,1.0,1.5,1.0,3.5,2.5,6
103,2.5,1.0,4.0,4.0,3.0,4.5,4.0,2.0,2.5,5.0,3
104,3.5,1.5,5.5,7.0,5.0,4.5,3.5,5.0,7.0,4.5,6
105,4.0,1.5,5.0,7.0,4.0,5.0,5.0,4.5,5.0,7.0,3
106,2.5,0.5,4.0,2.0,2.5,3.5,3.0,3.5,4.5,5.0,5
107,2.0,0.0,2.0,2.5,1.0,0.0,2.0,0.5,1.0,2.5,3
108,1.5,1.5,4.5,6.0,2.5,5.5,2.0,4.5,4.0,3.5,2
109,2.5,0.5,3.5,2.0,1.5,2.0,2.0,2.0,4.5,4.0,6
110,3.5,1.0,6.5,4.5,4.5,3.5,3.5,4.5,4.0,6.0,4
111,3.5,1.5,5.5,6.0,2.0,2.5,4.0,3.0,5.5,3.5,4
112,3.0,2.0,6.0,5.0,5.0,6.0,5.0,4.0,7.0,7.0,1
113,4.0,2.0,5.5,6.0,5.0,6.0,3.5,4.5,4.5,5.0,1
114,0.5,1.0,3.0,2.5,3.0,1.5,1.5,2.5,2.0,1.0,2
115,1.5,0.5,3.5,5.0,2.5,4.5,3.0,2.5,3.5,3.5,1
116,1.0,1.0,4.0,1.5,0.5,2.5,2.5,3.0,3.0,0.5,3
117,3.0,1.0,4.5,2.0,1.5,3.0,3.0,1.5,5.0,4.0,6
118,1.5,1.0,2.5,2.5,2.0,2.5,1.0,1.5,1.0,1.5,1
119,1.0,1.5,2.5,1.5,2.5,4.0,2.0,1.5,2.5,4.5,5
120,2.5,1.5,2.5,2.0,2.0,4.0,3.0,2.0,2.0,2.5,3
121,1.5,1.0,4.0,4.5,3.0,4.0,1.5,2.5,3.5,4.5,5
122,2.0,0.5,1.5,1.0,1.5,2.5,2.5,2.5,1.0,3.5,3
123,3.5,2.0,5.5,7.0,3.5,6.0,3.5,4.0,7.0,7.0,5
124,0.5,1.0,2.0,3.0,2.0,1.0,1.5,2.0,1.5,2.5,2
125,2.0,1.0,4.5,2.5,2.0,2.5,2.0,4.0,5.5,4.0,6
126,1.0,0.0,2.5,2.0,1.0,2.5,0.5,2.0,3.0,3.0,5
127,4.0,1.5,6.0,5.5,3.5,6.0,4.5,4.0,5.5,7.0,5
128,3.0,1.5,5.5,5.5,2.0,5.0,2.5,3.5,5.5,3.5,6
129,3.5,1.5,6.0,7.0,4.5,6.0,5.0,4.5,5.5,6.5,3
130,1.5,0.0,2.0,1.5,1.5,1.5,2.0,2.0,2.5,1.0,3
131,2.5,1.0,3.0,5.0,3.5,2.5,2.5,3.5,6.0,5.0,6
132,2.0,1.0,3.5,1.0,1.0,2.5,1.0,0.5,1.5,3.0,4
133,4.0,1.0,6.0,5.0,3.5,4.0,3.5,3.5,7.0,5.5,6
134,4.0,1.5,7.0,6.5,3.5,5.5,3.5,3.0,5.5,7.0,4
135,4.0,2.0,6.0,6.0,5.0,6.0,5.0,4.5,7.0,7.0,1
136,2.5,2.0,5.5,4.0,2.5,3.0,3.0,4.0,5.5,6.5,5
137,0.5,0.5,1.5,1.5,0.5,0.5,2.0,0.0,3.0,2.5,6
138,3.5,1.5,4.5,7.0,3.5,5.5,4.0,4.5,6.5,7.0,5
139,2.0,0.0,2.0,2.0,2.0,2.5,2.0,1.0,1.0,2.0,1
140,2.0,0.0,1.5,1.0,2.0,2.0,0.0,1.0,0.5,2.0,1
141,1.5,1.5,4.0,2.5,4.0,4.5,4.0,2.0,2.5,3.0,3
142,1.5,1.0,2.0,2.5,1.5,1.0,0.5,1.5,1.5,0.0,2
143,3.0,1.0,6.0,6.0,3.0,3.0,3.0,4.0,3.5,5.5,4
144,2.5,1.5,5.5,5.0,4.0,4.5,3.5,3.5,7.0,4.0,6
145,2.0,0.5,3.0,3.0,1.5,2.5,3.0,1.5,1.5,1.5,3
146,1.0,0.5,2.0,3.5,3.0,1.0,3.5,1.0,3.0,4.5,3
147,1.5,1.5,3.0,3.0,2.0,4.0,2.5,2.0,2.5,4.5,5
148,1.0,0.5,5.0,1.5,2.0,2.5,3.0,1.5,3.0,3.0,3
149,1.0,1.0,2.5,2.0,3.0,1.0,2.0,0.5,1.5,2.5,3
150,1.0,0.5,3.0,1.5,2.0,1.5,3.0,3.0,3.0,1.5,3
151,0.5,0.0,1.0,0.5,0.0,0.0,0.0,1.0,0.0,1.0,5
152,3.5,1.0,5.5,6.0,4.0,3.5,5.0,4.5,4.0,6.5,3
153,2.0,2.0,4.0,4.5,4.0,5.0,4.5,4.5,5.0,5.0,3
154,0.5,0.5,3.5,0.5,2.0,0.5,1.0,1.5,3.0,0.5,6
155,2.0,1.0,3.5,6.5,3.0,5.5,4.0,3.0,4.0,4.0,3
156,3.0,1.0,3.0,5.5,3.5,4.5,2.0,3.0,4.5,4.5,1
157,2.5,1.5,4.0,5.0,3.5,4.0,1.5,2.0,3.5,3.0,1
158,3.0,1.5,4.5,3.5,2.5,4.0,2.5,5.0,7.0,6.5,6
159,3.0,1.5,5.5,5.5,4.5,5.0,3.5,4.5,6.0,6.5,5
160,1.0,0.5,3.0,4.0,1.0,1.0,1.5,1.5,3.5,2.0,6
161,2.0,1.0,1.5,2.0,3.0,1.5,2.0,2.5,2.0,1.5,1
162,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.5,2.5,1.0,6
163,3.5,2.0,5.5,6.5,3.5,4.0,4.0,3.0,4.5,5.0,2
164,2.0,0.5,0.0,0.0,0.5,2.5,2.0,0.0,1.5,1.0,3
165,3.0,1.5,7.0,7.0,5.0,6.0,3.0,4.0,5.0,4.0,1
166,1.0,0.5,4.5,1.5,2.5,1.5,1.0,3.0,4.0,3.0,6
167,3.0,2.0,5.0,7.0,5.0,5.0,3.5,3.5,7.0,5.0,6
168,3.0,1.5,7.0,6.0,4.0,4.0,5.0,5.0,5.0,4.5,3
169,1.5,1.0,3.0,2.0,3.0,3.5,2.0,1.0,1.5,2.5,1
170,3.0,1.0,5.0,5.5,3.5,2.0,3.0,2.0,3.5,5.5,5
171,2.0,1.5,5.5,4.5,4.0,2.5,2.5,2.5,5.5,5.0,6
172,1.5,0.5,2.5,0.0,1.0,0.0,1.5,0.5,2.5,0.0,4
173,4.0,2.0,6.0,6.5,5.0,6.0,5.0,5.0,6.0,5.5,1
174,2.5,1.0,2.0,5.0,2.0,4.5,2.0,3.0,3.0,4.0,2
175,4.0,2.0,7.0,7.0,4.5,5.0,5.0,4.0,5.0,6.0,3
176,2.5,1.0,4.5,4.5,3.5,4.5,4.0,4.5,3.5,6.0,5
177,3.5,2.0,7.0,3.5,5.0,3.5,3.5,2.5,5.5,5.0,4
178,4.0,2.0,7.0,7.0,5.0,5.0,5.0,4.5,7.0,7.0,3
179,1.5,1.0,2.0,4.0,1.0,1.0,1.0,2.0,3.5,1.5,2
180,1.0,0.0,3.0,2.0,1.0,2.0,2.0,1.5,3.5,1.0,6
181,1.5,0.5,0.5,1.5,2.0,1.5,1.0,2.0,3.0,3.0,5
182,2.0,1.5,4.0,5.5,2.0,3.5,4.0,2.5,2.5,3.5,3
183,2.5,1.5,4.5,4.5,3.0,5.0,4.5,3.0,5.5,6.0,3
184,1.0,1.0,2.5,2.0,2.5,4.0,2.0,2.5,4.0,3.5,1
185,2.0,1.0,6.5,4.5,3.0,5.0,4.0,3.0,3.5,5.0,3
186,1.5,0.0,0.5,1.0,0.0,2.5,0.5,0.0,0.0,0.5,1
187,1.0,0.5,3.5,4.0,1.0,2.5,3.0,3.0,3.5,3.5,3
188,2.0,0.5,1.0,0.0,0.5,0.5,1.5,2.0,0.0,3.0,5
189,4.0,2.0,6.5,5.5,5.0,6.0,4.0,5.0,5.5,6.5,1
190,2.0,1.0,5.0,5.0,2.0,3.5,2.5,1.5,5.0,5.0,5
191,2.5,1.5,3.0,4.0,3.0,2.0,3.5,3.0,5.0,3.5,6
192,0.0,0.5,2.0,0.5,1.5,1.0,0.5,0.5,2.0,2.5,5
193,4.0,1.5,5.5,7.0,4.5,5.5,5.0,5.0,5.0,5.0,3
194,4.0,1.0,6.0,7.0,3.5,3.5,4.5,4.5,6.5,5.0,6
195,1.0,0.5,3.0,1.5,2.5,2.5,1.0,2.0,4.0,3.0,6
196,2.0,1.0,3.0,1.5,1.5,1.0,1.0,1.0,1.5,2.5,4
197,2.0,1.0,1.5,3.5,2.5,3.0,1.0,3.0,2.5,1.0,2
198,2.5,1.5,4.0,2.5,3.0,3.0,2.5,3.5,4.5,5.0,5
199,1.0,1.5,4.5,1.5,3.5,1.5,1.5,2.5,2.5,3.0,4
200,4.0,2.0,5.5,7.0,4.5,5.5,3.5,5.0,4.5,5.5,2
201,2.0,1.5,5.5,5.5,2.5,3.5,3.0,2.5,5.5,3.5,6
202,4.0,2.0,5.5,7.0,4.5,6.0,3.5,5.0,4.5,7.0,2
203,1.0,0.5,3.0,2.0,2.0,0.0,0.0,2.5,2.0,2.0,4
204,1.5,1.0,2.5,3.5,3.0,3.0,2.0,2.5,4.5,2.0,6
205,1.5,1.0,2.5,5.0,3.5,2.0,3.5,3.0,4.5,4.0,3
206,4.0,2.0,5.0,4.5,3.0,5.0,3.5,4.0,6.0,4.0,6
207,2.5,1.0,2.5,3.0,3.5,3.0,3.5,3.0,4.5,5.0,5
208,2.0,1.0,6.5,4.5,4.0,5.5,3.5,3.5,5.5,3.5,1
209,3.5,2.0,4.5,6.0,3.5,3.5,4.5,4.5,4.5,5.0,3
210,1.5,1.0,4.5,2.0,3.5,4.0,2.0,2.0,5.0,4.5,6
211,3.5,1.5,6.0,4.0,3.0,5.5,3.0,4.5,3.5,3.5,4
212,3.0,2.0,3.5,4.0,3.5,4.0,4.0,3.0,5.5,4.0,3
213,2.0,2.0,4.5,6.0,3.5,3.5,5.0,4.0,5.0,5.5,3
214,0.5,0.0,2.0,3.0,0.5,0.0,1.5,0.5,3.5,1.0,6
215,3.0,1.0,5.0,3.0,2.5,1.5,3.0,2.5,2.5,3.5,4
216,0.0,0.5,0.0,2.0,0.5,0.5,2.0,1.5,1.5,1.5,3
217,3.0,1.5,6.0,6.5,4.0,6.0,5.0,3.5,7.0,7.0,3
218,1.5,1.0,2.0,1.5,2.0,1.5,2.0,0.5,3.0,1.5,6
219,0.5,1.0,2.5,3.0,1.5,0.5,2.0,2.5,1.5,2.5,2
220,3.0,1.0,3.5,5.5,2.5,5.0,2.0,3.5,3.5,4.0,2
221,3.0,2.0,7.0,6.5,5.0,5.0,3.5,5.0,7.0,7.0,5
222,2.0,0.5,1.5,3.0,3.5,4.0,3.5,1.5,3.0,3.0,3
223,2.0,0.5,4.0,4.0,3.0,2.5,1.5,0.5,4.5,2.0,6
224,4.0,1.0,6.0,6.0,3.0,5.0,4.0,3.5,4.0,5.0,4
225,2.0,0.5,1.0,3.0,2.5,3.0,1.0,1.0,1.0,3.0,1
226,1.0,0.5,2.0,2.5,1.0,2.0,1.0,1.0,2.0,2.0,2
227,1.5,1.0,1.5,1.5,1.0,0.0,1.5,2.0,0.5,1.0,2
228,2.5,1.0,5.0,6.5,4.5,6.0,5.0,3.0,5.0,5.5,3
229,2.0,1.5,4.5,4.0,3.0,4.5,2.5,4.5,6.5,4.0,6
230,2.5,1.0,6.0,5.5,3.0,4.0,4.5,2.5,4.5,5.5,3
231,3.0,1.0,5.5,4.5,3.0,5.0,4.0,2.5,6.5,6.5,5
232,2.0,1.5,5.0,5.5,2.0,3.5,3.0,2.0,6.0,3.0,6
233,2.0,1.0,1.0,0.5,0.5,2.0,0.5,2.0,2.5,2.5,5
234,1.5,0.0,1.0,1.0,1.0,1.0,1.0,2.5,1.5,3.5,5
235,1.0,0.5,2.5,2.0,2.0,3.5,1.5,1.0,4.5,3.5,6
236,2.5,1.0,4.0,5.0,3.5,4.0,2.0,3.0,6.0,5.0,6
237,2.0,0.5,2.0,3.5,1.0,2.0,2.5,0.5,1.5,2.0,3
238,2.5,1.5,2.5,4.5,3.0,2.5,4.0,3.0,4.5,2.5,3
239,3.0,2.0,5.5,4.0,5.0,3.5,4.0,4.0,6.5,5.5,6
240,1.5,1.0,3.5,1.5,1.0,2.5,0.5,2.0,2.5,0.0,4
241,2.5,2.0,4.5,7.0,3.5,4.5,5.0,4.5,5.5,6.5,3
242,4.0,2.0,4.5,6.0,3.5,6.0,3.5,4.5,7.0,7.0,5
243,1.0,0.0,2.0,2.5,2.5,2.5,2.0,2.0,2.5,2.5,1
244,2.0,0.5,1.0,0.5,0.0,0.5,0.5,1.5,0.5,1.0,4
245,1.0,1.0,1.0,1.0,2.5,1.0,2.5,1.5,3.0,2.5,3
246,2.0,1.0,3.5,2.5,2.0,2.5,2.0,2.5,5.0,2.5,6
247,3.5,1.5,6.5,7.0,2.5,4.5,3.0,5.0,5.0,6.5,2
248,4.0,1.5,4.5,5.0,3.5,5.5,3.0,3.0,5.0,5.0,1
249,3.5,1.0,5.0,4.5,3.0,4.0,2.0,3.5,5.0,4.0,4
250,3.5,2.0,6.5,7.0,4.0,5.5,5.0,4.5,7.0,7.0,3
251,4.0,1.5,6.0,5.5,4.0,6.0,5.0,5.0,6.5,7.0,3
252,1.0,0.5,1.0,0.0,0.5,2.5,0.5,2.0,0.5,2.0,5
253,3.0,1.5,3.5,5.0,2.5,5.0,2.0,2.5,5.0,5.0,5
254,4.0,1.5,5.5,7.0,3.0,4.0,3.0,4.5,6.0,3.5,2
255,3.0,1.5,4.0,4.5,4.0,4.5,2.5,4.0,6.0,3.0,6
256,4.0,1.5,7.0,7.0,5.0,4.5,4.5,5.0,6.5,5.0,4
257,1.5,0.0,2.5,0.0,0.5,1.0,0.5,2.0,2.0,2.0,4
258,0.5,0.5,4.0,1.0,2.0,2.0,1.5,1.5,2.5,4.0,5
259,3.0,1.0,5.0,5.5,2.0,2.5,4.0,2.5,3.5,4.0,3
260,3.0,1.0,2.5,5.5,3.5,5.0,3.0,4.0,3.5,3.0,1
261,2.5,1.5,6.0,5.5,4.5,6.0,4.5,4.0,4.0,5.0,1
262,1.5,0.0,0.5,2.5,2.0,0.0,1.0,0.5,3.0,2.5,6
263,3.0,1.0,3.5,4.5,2.0,4.0,2.5,3.0,4.5,5.5,5
264,3.0,2.0,7.0,7.0,5.0,5.0,4.0,4.0,7.0,7.0,5
265,3.5,1.5,6.5,5.0,3.0,4.5,3.0,4.5,6.0,6.5,5
266,2.0,1.5,5.0,5.0,3.0,5.5,4.5,4.5,5.5,4.5,3
267,2.0,0.5,2.5,2.5,1.0,2.5,1.5,2.5,3.5,1.5,6
268,4.0,1.5,6.0,6.5,4.0,5.0,5.0,4.5,5.5,7.0,3
269,3.0,1.5,2.5,3.0,1.5,2.5,3.0,1.5,2.5,4.5,5
270,4.0,1.5,4.5,4.5,4.5,3.5,4.0,2.5,5.5,6.5,5
271,2.5,0.5,5.0,2.0,2.5,4.0,1.5,3.5,2.0,2.5,4
272,3.5,1.5,5.5,4.5,2.0,4.5,3.5,3.0,2.5,5.5,4
273,3.0,1.0,3.0,5.0,2.5,3.5,3.0,3.5,4.0,2.0,2
274,1.0,0.5,2.0,3.5,3.5,2.5,3.0,2.5,5.0,5.0,5
275,4.0,2.0,7.0,7.0,5.0,5.5,5.0,5.0,5.5,7.0,2
276,3.5,1.5,6.0,4.5,2.5,3.0,2.5,4.5,4.5,6.5,5
277,1.0,1.0,2.0,3.0,1.5,0.0,2.5,1.5,0.0,3.0,3
278,2.5,0.5,3.5,4.5,2.5,2.5,1.5,3.5,3.0,4.5,5
279,3.0,0.5,3.0,4.0,3.0,3.5,3.0,3.5,2.5,5.0,5
280,4.0,2.0,6.5,7.0,3.5,6.0,4.5,4.0,5.5,5.5,4
281,2.0,1.0,2.0,2.5,3.0,1.5,3.5,3.5,3.5,4.0,3
282,2.0,1.5,2.5,3.5,2.5,3.0,4.0,2.0,2.5,3.0,3
283,1.0,0.0,2.5,3.0,0.5,2.5,1.0,1.0,2.5,0.0,6
284,4.0,2.0,7.0,6.5,3.5,5.5,5.0,3.5,5.0,5.0,3
285,2.0,1.0,2.5,1.0,3.0,3.5,1.0,2.5,2.0,1.5,1
286,3.0,1.5,5.0,5.0,4.0,5.0,4.5,4.0,7.0,5.0,6
287,1.0,0.5,3.0,3.0,0.5,3.0,2.0,2.0,2.5,1.5,3
288,3.5,2.0,6.5,7.0,3.5,3.5,4.0,5.0,6.5,6.0,2
289,3.0,1.0,5.0,4.5,4.0,4.0,2.5,3.0,2.5,3.5,1
290,3.5,1.5,3.0,2.5,4.0,4.0,3.0,4.0,5.5,3.0,6
291,1.0,0.5,1.5,1.0,2.0,1.5,2.0,1.0,2.5,2.0,3
292,3.0,1.5,6.0,3.5,4.5,3.5,4.5,4.0,6.5,4.5,6
293,2.0,1.5,5.0,2.5,4.0,2.5,3.5,1.5,4.0,3.5,3
294,2.5,2.0,6.5,6.5,4.0,5.5,4.5,3.5,4.5,4.5,3
295,2.0,1.5,6.5,5.0,4.5,5.5,3.5,4.0,5.0,4.5,1
296,2.5,0.5,1.5,3.0,2.5,3.0,2.5,1.0,3.5,1.5,1
297,3.0,0.5,2.0,3.5,1.5,2.5,1.5,3.0,3.5,3.0,2
298,1.0,1.5,5.0,4.5,3.5,2.5,1.5,4.0,3.5,2.5,2
299,3.0,1.5,6.0,3.0,3.5,4.5,3.0,3.0,4.0,2.5,4
300,4.0,2.0,7.0,6.0,5.0,5.5,4.0,5.0,7.0,7.0,4
301,4.0,2.0,4.5,5.0,4.5,4.5,3.5,3.5,7.0,5.0,6
302,0.5,1.0,1.0,3.0,0.5,1.0,0.5,1.0,2.0,1.0,2
303,3.5,2.0,5.5,6.5,3.5,5.0,5.0,5.0,7.0,6.0,3
304,4.0,2.0,5.5,5.5,4.5,4.0,4.5,3.0,6.0,7.0,5
305,1.0,1.0,4.5,4.0,2.0,2.0,2.0,3.5,4.5,3.5,6
306,4.0,2.0,5.5,6.0,4.5,6.0,3.5,3.5,7.0,7.0,5
307,3.5,2.0,7.0,7.0,5.0,6.0,4.0,5.0,7.0,6.5,1
308,3.0,2.0,7.0,5.5,5.0,6.0,4.5,4.5,7.0,6.5,1
309,0.5,0.5,2.0,3.0,1.0,1.0,2.0,0.0,2.5,2.5,3
310,4.0,1.5,6.0,6.0,5.0,6.0,5.0,5.0,7.0,7.0,1
311,3.5,1.5,5.5,6.5,5.0,6.0,4.5,4.5,5.0,5.0,1
312,3.5,2.0,6.0,4.0,3.5,5.5,3.5,4.0,7.0,6.0,6
313,2.5,1.0,3.0,2.5,2.5,4.0,1.5,2.0,3.0,4.5,5
314,1.0,0.5,1.5,0.5,0.5,2.5,2.0,2.0,2.5,0.5,3
315,2.0,0.5,1.0,1.5,0.5,1.5,2.5,2.5,3.5,3.0,3
316,2.0,1.0,4.5,3.5,1.0,3.5,2.0,1.5,1.5,3.5,4
